base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75
convex_cross,120,64.65198751,62.97629755,65.82306715,17.00224165,15.38479565,18.470622375,87.66491393999999,83.061485625,92.05467727499999,277.41760744000004,264.1114936,295.30705885,5.94171013,5.939567525,6.155379875,452.67846067,439.9789692,472.83816002500004,0.017629817196443413,0.015336236037973586,0.020282842384179423,3.7,-8.0,7.25,1.8,0.0,2.75
convex_cross,180,80.31911303000001,76.89125204999999,80.865911325,27.920995749999996,26.10760685,30.664002449999998,140.12633356,130.473219425,147.457862175,308.84077435,299.14251040000005,320.47357877499996,10.373773179999999,8.79807145,9.155811425000001,567.5809898699999,547.4329062,588.1288653500001,0.016889139311433453,0.015049222105849535,0.01881700801272049,28.4,10.25,52.5,2.6,1.0,3.0
conicalb_cross,4,28.013278200000002,23.546634575,27.87315285,1.4129798,1.096969475,1.430924225,6.433738120000001,5.150773775,7.636212974999999,4.36599517,4.292268975,4.34930745,0.30666851000000006,0.282014725,0.32882175,40.5326598,35.596510225,39.984042925,0.26281717571793517,0.26281717571793495,0.2628171757179352,-21.6,-20.0,-20.0,1.6,0.0,0.0
conicalb_cross,8,29.463031210000004,25.127486125,33.358609425,1.76363446,1.435981075,1.9769341500000002,8.11873087,7.624222525,8.711840175,10.23101095,10.069115625,10.199207175,0.6035037400000001,0.4518679,0.55126565,50.179911229999995,46.16148835,53.802004049999994,0.08741774059237829,0.08741774059237808,0.08741774059237842,-7.0,-7.0,-7.0,1.4,1.0,1.0
conicalb_cross,12,29.45345962,26.034663475000002,31.809893674999998,2.1565598300000004,1.83981145,2.4137827499999998,9.484218269999998,8.93271385,10.771596400000002,17.920848569999997,17.816092075,17.976997725,0.73919421,0.585204575,0.686798,59.75428050000001,57.63019775,60.747868175,0.057470157639643395,0.0574701576396433,0.057470157639643527,80.6,82.0,82.0,6.4,5.0,5.0
conicalb_cross,16,29.858061730000003,24.177961525,34.754550925000004,2.45919542,2.1452809750000004,2.796859375,11.353087910000003,10.706915425,12.6124288,36.56278368,36.263096575,36.854936,1.05731411,0.80940125,1.4079987,81.29044285,74.44163005,86.252507675,0.050170739012864465,0.05017073901286372,0.050170739012864084,147.6,147.0,148.0,16.7,16.0,16.0
conicalb_cross,20,29.32248616,24.20538295,33.892647124999996,2.5052275199999996,2.2030111,2.679335625,12.894467190000004,11.605133075000001,13.464384849999998,42.01162659,41.682410725,42.102085175,1.52141899,1.069878525,1.9773051499999998,88.25522645000001,84.667957425,91.680960975,0.06351431800729514,0.06351431800729443,0.06351431800729467,218.5,218.0,219.0,16.2,16.0,16.0
conicalb_cross,30,31.188175889999997,29.536010225,31.642470024999998,4.277679340000001,3.4287053249999997,4.729455275,20.6755669,18.036014549999997,20.774565699999997,65.84533855000001,64.67577972500001,65.151625575,1.6674252500000002,1.3772323749999997,1.9679986,123.65418593,120.17770147499999,129.980766625,0.032548636375942644,0.032548636375942554,0.03254863637594278,18.0,18.0,18.0,1.0,1.0,1.0
conicalb_cross,45,45.07896207,42.56188905,47.5307919,5.476544629999999,4.760052,6.1036580250000005,27.356045509999994,25.612996175,28.994995324999998,109.71371137000001,105.22216185,114.86308682500001,2.5795865200000003,2.5578812500000003,2.74580715,190.20485010000002,186.55414755000004,191.5521492,0.02915165157531373,0.02927344380553784,0.030829156233838022,34.7,29.0,40.0,0.5,0.0,0.75
conicalb_cross,60,51.072244170000005,48.454935075,54.098386024999996,8.276565000000002,7.298526525,9.376237524999999,37.69172908,35.8656833,39.646949175,161.79767308,151.8489645,167.761658825,3.2306399,2.991793625,3.462406925,262.06885122999995,253.2542289,271.45748065,0.0233729590666071,0.02276253015944004,0.024261023219607727,30.8,17.0,43.5,1.0,0.0,0.75
conicalb_cross,90,59.001315049999995,59.93022745,61.177061125,13.71407297,12.408245375,13.4322947,75.85952238,69.00203877499999,83.19535635,252.36537164,235.4053078,266.839428175,4.65016685,4.722922875,4.933227575,405.59044889,391.63096075000004,413.689784775,0.01645444455236798,0.014515640171342164,0.01761776765162158,-2.1,-5.0,1.75,4.2,1.25,6.75
conicalb_cross,120,75.62584426000001,74.5795195,75.95953324999999,20.40024942,18.2055491,22.1754711,104.90498258999999,103.765614175,106.24288077499999,280.19114425,273.01332787499996,283.53825232500003,6.006593699999999,6.0265830000000005,6.351235225,487.1288142200001,479.86862697500004,492.659331975,0.017219873136190438,0.014662259612067562,0.020350994965518055,7.1,-8.75,18.5,1.8,0.0,3.5
conicalb_cross,180,78.22870732999999,77.20600429999999,82.8547281,27.37947933,22.365386025000003,31.397755,149.64821026,138.468671975,159.598378675,320.18023138,310.915024175,330.794934775,9.57749019,9.24568395,9.617659125000001,585.01411849,562.58165575,606.304380475,0.01688335977090088,0.015462223086771677,0.018835264403310868,31.6,13.75,56.5,1.8,0.0,1.75
