year,timestep,scenario,profile_name,value
2050,166,0,OBZLL_Wind_Offshore,0.9792
2050,167,0,OBZLL_Wind_Offshore,0.9792
2050,168,0,OBZLL_Wind_Offshore,0.9792
2050,169,0,OBZLL_Wind_Offshore,0.9792
2050,170,0,OBZLL_Wind_Offshore,0.9792
2050,171,0,OBZLL_Wind_Offshore,0.9792
2050,172,0,OBZLL_Wind_Offshore,0.9792
2050,173,0,OBZLL_Wind_Offshore,0.9792
2050,174,0,OBZLL_Wind_Offshore,0.9792
2050,175,0,OBZLL_Wind_Offshore,0.979199971
2050,176,0,OBZLL_Wind_Offshore,0.979123024
2050,177,0,OBZLL_Wind_Offshore,0.556562253
2050,178,0,OBZLL_Wind_Offshore,0.523943659
2050,179,0,OBZLL_Wind_Offshore,0.931717067
2050,180,0,OBZLL_Wind_Offshore,0.868203357
2050,181,0,OBZLL_Wind_Offshore,0.610491404
2050,182,0,OBZLL_Wind_Offshore,0.562538613
2050,183,0,OBZLL_Wind_Offshore,0.638981773
2050,184,0,OBZLL_Wind_Offshore,0.887238529
2050,185,0,OBZLL_Wind_Offshore,0.977450433
2050,186,0,OBZLL_Wind_Offshore,0.951534653
2050,187,0,OBZLL_Wind_Offshore,0.978970693
2050,188,0,OBZLL_Wind_Offshore,0.978802493
2050,189,0,OBZLL_Wind_Offshore,0.97870295
2050,190,0,OBZLL_Wind_Offshore,0.972778205
2050,191,0,OBZLL_Wind_Offshore,0.945327169
2050,192,0,OBZLL_Wind_Offshore,0.976511187
2050,193,0,OBZLL_Wind_Offshore,0.979189485
2050,194,0,OBZLL_Wind_Offshore,0.979183187
2050,195,0,OBZLL_Wind_Offshore,0.9792
2050,196,0,OBZLL_Wind_Offshore,0.9792
2050,197,0,OBZLL_Wind_Offshore,0.933052198
2050,198,0,OBZLL_Wind_Offshore,0.9792
2050,199,0,OBZLL_Wind_Offshore,0.969717234
2050,200,0,OBZLL_Wind_Offshore,0.604482761
2050,201,0,OBZLL_Wind_Offshore,0.156640397
2050,202,0,OBZLL_Wind_Offshore,0.443859283
2050,203,0,OBZLL_Wind_Offshore,0.979175917
2050,204,0,OBZLL_Wind_Offshore,0.9792
2050,205,0,OBZLL_Wind_Offshore,0.9792
2050,206,0,OBZLL_Wind_Offshore,0.9792
2050,207,0,OBZLL_Wind_Offshore,0.9792
2050,208,0,OBZLL_Wind_Offshore,0.979170727
2050,209,0,OBZLL_Wind_Offshore,0.958563271
2050,210,0,OBZLL_Wind_Offshore,0.971195259
2050,211,0,OBZLL_Wind_Offshore,0.979128668
2050,212,0,OBZLL_Wind_Offshore,0.97919814
2050,213,0,OBZLL_Wind_Offshore,0.9792
2050,214,0,OBZLL_Wind_Offshore,0.924794843
2050,215,0,OBZLL_Wind_Offshore,0.979195587
2050,216,0,OBZLL_Wind_Offshore,0.978737334
2050,217,0,OBZLL_Wind_Offshore,0.979071771
2050,218,0,OBZLL_Wind_Offshore,0.9792
2050,219,0,OBZLL_Wind_Offshore,0.9792
2050,220,0,OBZLL_Wind_Offshore,0.9792
2050,221,0,OBZLL_Wind_Offshore,0.9792
2050,222,0,OBZLL_Wind_Offshore,0.9792
2050,223,0,OBZLL_Wind_Offshore,0.9792
2050,224,0,OBZLL_Wind_Offshore,0.9792
2050,225,0,OBZLL_Wind_Offshore,0.711663068
