base_name,rp,solver,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,time_to_cluster
kmedoids_cross_convex,20,Xpress,4.8008004,22.7635505,61.1411215,1.0793175,5.999309597162628e8,OPTIMAL,357705,254978,61.6861636,5.84389749591316e8,OPTIMAL,0,0,0.0,0.0,1.6637724
kmedoids_cross_convex,20,Xpress,3.8015468,21.6504918,53.137348,1.0375932,5.947405500858383e8,OPTIMAL,357705,254978,60.9945094,5.834642851740831e8,OPTIMAL,0,0,0.0,0.0,1.6414702
kmedoids_cross_convex,30,Xpress,5.981256,27.5974862,79.9162074,2.4385698,5.913198286072617e8,OPTIMAL,510825,373778,68.7947261,5.804231857728647e8,OPTIMAL,0,0,0.0,0.0,1.923003
kmedoids_cross_convex,30,Xpress,5.042817,24.054055,78.1798215,1.3632582,5.88949410970871e8,OPTIMAL,510825,373778,62.3081369,5.802884546562908e8,OPTIMAL,0,0,0.0,0.0,1.9250926
kmedoids_cross_convex,30,Xpress,6.2387435,28.1564933,83.8443943,1.551982,5.912154894917145e8,OPTIMAL,510825,373778,62.9450724,5.816956923697387e8,OPTIMAL,0,0,0.0,0.0,1.9147823
kmedoids_cross_convex,30,Xpress,4.8075573,25.1632061,79.9271603,1.4738064,5.866077045044403e8,OPTIMAL,510825,373778,67.0106894,5.78943584429069e8,OPTIMAL,0,0,0.0,0.0,1.9040128
kmedoids_cross_convex,30,Xpress,6.2515701,25.7406389,72.9340657,1.7390071,5.876842200961533e8,OPTIMAL,510825,373778,64.3450373,5.786415399084102e8,OPTIMAL,0,0,0.0,0.0,1.8930273
kmedoids_cross_convex,30,Xpress,4.298678,23.2052207,79.9179379,1.3576213,5.898940327334671e8,OPTIMAL,510825,373778,64.0636012,5.80696925734886e8,OPTIMAL,0,0,0.0,0.0,1.8800512
kmedoids_cross_convex,30,Xpress,6.1552262,28.3315397,81.1096577,1.5285293,5.898706150935898e8,OPTIMAL,510825,373778,68.2447948,5.772518271824718e8,OPTIMAL,0,0,0.0,0.0,1.9331872
kmedoids_cross_convex,30,Xpress,4.9236327,24.3296222,73.8573671,2.2248878,5.924341836368713e8,OPTIMAL,510825,373778,63.7264454,5.809073421734934e8,OPTIMAL,0,0,0.0,0.0,1.9903255
kmedoids_cross_convex,30,Xpress,7.3965052,23.3002143,84.879531,1.5089573,5.962753377143402e8,OPTIMAL,510825,373778,66.9342807,5.828884423747753e8,OPTIMAL,0,0,0.0,0.0,1.8883547
