base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol_e,reduced_num_lol_h2,reduced_lol_e,reduced_lol_h2,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
kmedoids_cross_convex,12,Xpress,18.6008854,7.0280107,34.0237782,32.7202969,0.7555317,1.7293576347738266e9,OPTIMAL,278,183,2635.62133026759,1141.72018777631,235209,159938,60.0812082,6.814124756533087e8,OPTIMAL,520,55,1359.763626042997,31.609589035000003
kmedoids_cross_convex,12,Xpress,17.0436515,3.3562071,17.522473,27.0545759,0.7156376,1.632598556918312e9,OPTIMAL,280,176,2616.78492453919,1036.5023753704165,235209,159938,57.6100457,6.761677556282065e8,OPTIMAL,391,45,1293.3889995978564,28.253424652000007
kmedoids_cross_convex,12,Xpress,26.6712104,4.8688446,19.1559849,24.7901454,0.8817258,1.748848694360283e9,OPTIMAL,286,177,2696.247356201131,1046.863051167036,235209,159938,61.9353047,6.774672962214937e8,OPTIMAL,370,56,1272.5111141834477,31.666666661000008
kmedoids_cross_convex,12,Xpress,21.4123402,4.5363573,27.7048203,24.7414009,0.7578909,1.4685094139628296e9,OPTIMAL,282,173,2652.293718722568,1018.2720614645455,235209,159938,58.694097,6.653865281917336e8,OPTIMAL,405,47,705.1330320172095,69.30478105117406
kmedoids_cross_convex,12,Xpress,16.5194948,3.6442765,19.2565868,29.6866039,0.7388905,2.024733869916542e9,OPTIMAL,286,178,2691.6809668510155,1042.1932842994322,235209,159938,55.7363552,6.786423361853904e8,OPTIMAL,326,48,1082.5263479051578,41.07131453873404
kmedoids_cross_convex,12,Xpress,18.6860241,3.2982175,12.5635873,23.9727979,0.8107216,2.159109592972e9,OPTIMAL,282,174,2723.3622002635993,959.4037992149356,235209,159938,55.0117901,6.771945342680758e8,OPTIMAL,211,36,678.4346156075615,18.598801843088978
kmedoids_cross_convex,12,Xpress,14.5116513,5.5400089,37.0885822,23.5249589,0.7582053,2.0902643602857285e9,OPTIMAL,286,175,2681.458469973626,1041.7081183716894,235209,159938,53.8355052,6.835261681046566e8,OPTIMAL,443,58,1189.307570692303,65.44983910552924
kmedoids_cross_convex,12,Xpress,12.5862068,2.3269811,13.9342144,25.0506371,0.7114223,2.0494442713499603e9,OPTIMAL,286,181,2738.7119074225016,1113.1613727738131,235209,159938,57.5093488,6.765513815482765e8,OPTIMAL,342,31,964.9854037417626,19.269406389
kmedoids_cross_convex,12,Xpress,18.8352666,3.6571678,10.0968702,24.9053202,0.8363086,2.0003259312761993e9,OPTIMAL,289,177,2727.9554167246633,1012.1797517270719,235209,159938,61.9894566,6.785892071627715e8,OPTIMAL,348,38,912.9234779535766,26.210045658
kmedoids_cross_convex,16,Xpress,17.2791077,6.8897731,28.7055263,36.8346263,0.8953701,1.618726199539627e9,OPTIMAL,281,170,2647.00571992612,990.8212012240396,296457,207458,54.595723,6.734554837531029e8,OPTIMAL,364,54,1263.9044942651185,32.831050223
kmedoids_cross_convex,16,Xpress,17.8522194,2.9518583,14.3725889,38.2201554,1.0858459,1.1470110733480453e9,OPTIMAL,280,178,2761.273263885079,1039.2192808762268,296457,207458,65.9283666,6.399149235172293e8,OPTIMAL,561,80,1455.170795794692,79.99750206066804
kmedoids_cross_convex,16,Xpress,19.2790453,4.6793322,22.1607203,36.0635657,0.9567784,1.7956517343991776e9,OPTIMAL,278,173,2630.547219784683,999.3364266954126,296457,207458,58.9869883,6.79408112197722e8,OPTIMAL,487,62,1252.2772203950751,65.47424045713645
kmedoids_cross_convex,16,Xpress,11.4066389,2.7854703,18.1726555,37.5750884,0.8372086,1.5973311416971054e9,OPTIMAL,286,173,2702.342805162131,992.8347444723024,296457,207458,57.3338889,6.77156147919931e8,OPTIMAL,437,54,1371.2625614655617,33.7099879709533
kmedoids_cross_convex,16,Xpress,12.7157641,4.2102856,17.9306567,35.1286865,0.8693776,1.3298497945946121e9,OPTIMAL,282,179,2733.804162098791,1024.2756103378322,296457,207458,68.9493528,6.354704442795631e8,OPTIMAL,155,15,291.0515005061933,20.572069060504187
kmedoids_cross_convex,16,Xpress,13.3097882,6.2021298,32.3361122,39.4338444,0.8940027,1.494456522776535e9,OPTIMAL,277,175,2633.507478795877,1010.8245444567073,296457,207458,59.2796325,6.570247877482641e8,OPTIMAL,145,16,357.27202723709115,21.52148002917319
kmedoids_cross_convex,16,Xpress,18.8967622,6.0066047,25.8013959,35.5338753,0.8953836,1.2682236363783035e9,OPTIMAL,291,173,2805.8069388305885,992.7022542538497,296457,207458,68.3499899,6.459025785723304e8,OPTIMAL,295,52,975.5004877073201,44.041351077679
kmedoids_cross_convex,16,Xpress,24.2190548,7.1243766,17.946453,33.4847994,1.1484724,1.9168043653825226e9,OPTIMAL,282,175,2678.9968060240158,997.1924155121859,296457,207458,58.8531205,6.811532970792553e8,OPTIMAL,358,49,1176.4295507900865,28.310502277999998
kmedoids_cross_convex,16,Xpress,13.5140591,2.7374889,15.8824307,36.4133017,0.8299582,1.7614135908309097e9,OPTIMAL,280,184,2737.7459401622878,1056.9744307678395,296457,207458,57.7264481,6.721112033920879e8,OPTIMAL,356,30,998.3642373799123,18.755707759
kmedoids_cross_convex,16,Xpress,18.4658841,4.6208043,23.6622652,32.0418551,0.8354505,1.5673468488013535e9,OPTIMAL,285,174,2696.2019609376407,985.8617683847806,296457,207458,52.9502564,6.706597068142829e8,OPTIMAL,507,64,1142.2311819976346,74.08339795446699
kmedoids_cross_convex,20,Xpress,28.0055535,6.1156052,33.016452,49.6911059,0.9471416,1.1247159332087097e9,OPTIMAL,288,176,2734.621308166473,1048.4806328453164,357705,254978,64.4805621,6.230927286841823e8,OPTIMAL,278,40,727.0870400224089,30.288391016003697
kmedoids_cross_convex,20,Xpress,25.2225755,5.6311902,26.1118628,42.5990556,1.0472438,1.4151809757733536e9,OPTIMAL,280,172,2639.4177428869566,993.6062095744913,357705,254978,59.5994055,6.607215544688336e8,OPTIMAL,216,44,915.1721211563367,29.771689492
kmedoids_cross_convex,20,Xpress,26.223152,6.0573278,25.6168104,47.0998421,1.0636544,1.3747323835679092e9,OPTIMAL,279,170,2733.4809807794095,981.9837138543348,357705,254978,58.4963577,6.579998797379884e8,OPTIMAL,474,77,1647.807218246304,48.07624454992917
