id,asset,year,scenario,period_block_start,period_block_end,solution
304,hydro_reservoir,2030,0,304,304,205.78701213692494
305,hydro_reservoir,2030,0,305,305,206.22523800088837
306,hydro_reservoir,2030,0,306,306,206.1186972133104
307,hydro_reservoir,2030,0,307,307,206.24450272785103
308,hydro_reservoir,2030,0,308,308,206.2500983809789
309,hydro_reservoir,2030,0,309,309,205.8894589039516
310,hydro_reservoir,2030,0,310,310,205.39161728933885
311,hydro_reservoir,2030,0,311,311,205.42114119733216
312,hydro_reservoir,2030,0,312,312,205.12275942662612
313,hydro_reservoir,2030,0,313,313,204.0284874134361
314,hydro_reservoir,2030,0,314,314,203.8335969470364
315,hydro_reservoir,2030,0,315,315,203.22198912440732
316,hydro_reservoir,2030,0,316,316,203.37453505367114
317,hydro_reservoir,2030,0,317,317,203.25443362396882
318,hydro_reservoir,2030,0,318,318,203.18659603285468
319,hydro_reservoir,2030,0,319,319,202.62811219409082
320,hydro_reservoir,2030,0,320,320,202.98779759675324
321,hydro_reservoir,2030,0,321,321,202.85569266253734
322,hydro_reservoir,2030,0,322,322,203.02684778394783
323,hydro_reservoir,2030,0,323,323,203.08328512023076
324,hydro_reservoir,2030,0,324,324,202.79883761285728
325,hydro_reservoir,2030,0,325,325,202.96428652049767
326,hydro_reservoir,2030,0,326,326,202.97054208723313
327,hydro_reservoir,2030,0,327,327,202.16087338198471
328,hydro_reservoir,2030,0,328,328,202.3340204617399
329,hydro_reservoir,2030,0,329,329,202.40341644551071
330,hydro_reservoir,2030,0,330,330,202.2314191680936
331,hydro_reservoir,2030,0,331,331,202.29929978210737
332,hydro_reservoir,2030,0,332,332,202.0310670217462
333,hydro_reservoir,2030,0,333,333,201.6185989854514
334,hydro_reservoir,2030,0,334,334,201.32554575768935
335,hydro_reservoir,2030,0,335,335,201.47564518060145
336,hydro_reservoir,2030,0,336,336,201.82716486957142
337,hydro_reservoir,2030,0,337,337,202.03745190930147
338,hydro_reservoir,2030,0,338,338,202.34008129069227
339,hydro_reservoir,2030,0,339,339,201.97001658789347
340,hydro_reservoir,2030,0,340,340,201.69454034475623
341,hydro_reservoir,2030,0,341,341,200.46092542545452
342,hydro_reservoir,2030,0,342,342,200.38880546117232
343,hydro_reservoir,2030,0,343,343,200.004771432349
344,hydro_reservoir,2030,0,344,344,199.8375108785025
345,hydro_reservoir,2030,0,345,345,199.558892412831
346,hydro_reservoir,2030,0,346,346,199.25104222118594
347,hydro_reservoir,2030,0,347,347,199.38566245988974
348,hydro_reservoir,2030,0,348,348,199.19816041584497
349,hydro_reservoir,2030,0,349,349,198.78764204609976
350,hydro_reservoir,2030,0,350,350,198.56787233262958
351,hydro_reservoir,2030,0,351,351,198.70088924957426
352,hydro_reservoir,2030,0,352,352,198.43771310461932
353,hydro_reservoir,2030,0,353,353,197.43064747088656
354,hydro_reservoir,2030,0,354,354,197.1377774110433
355,hydro_reservoir,2030,0,355,355,197.35362112551013
356,hydro_reservoir,2030,0,356,356,197.74229248002308
357,hydro_reservoir,2030,0,357,357,198.06439516504196
358,hydro_reservoir,2030,0,358,358,198.49008180323233
359,hydro_reservoir,2030,0,359,359,198.81994692210262
360,hydro_reservoir,2030,0,360,360,198.54145601080157
361,hydro_reservoir,2030,0,361,361,198.9149213422727
362,hydro_reservoir,2030,0,362,362,199.2686677557377
363,hydro_reservoir,2030,0,363,363,199.64213308720883
364,hydro_reservoir,2030,0,364,364,200.06436547411434
365,hydro_reservoir,2030,0,365,365,201.6
366,hydro_reservoir,2030,1,1,1,202.62210985269826
