base_name,rp,n_experiment,time_to_cluster_mean,time_to_read_mean,time_to_create_mean,time_to_solve_mean,time_to_save_mean,total_time_mean,rel_regret_mean,num_loss_of_load_e_demand_mean,loss_of_load_e_demand_mean
convex_cross,150,2,89.6277923,0.4375287,1.0578004,0.3209196,0.105323,91.549364,0.20653672666751208,29.0,0.4011329459702331
convex_cross,300,2,171.4370463,0.6500164,1.5078336,0.8269119,0.1960243,174.6178325,0.20231217243217672,29.0,0.39352400718419456
convex_cross,450,2,280.6647687,0.8755166,1.9768569,1.5395089,0.307868,285.3645191,0.1342251586181372,19.0,0.2589313941031439
convex_per,20,2,1.3552258,0.4438977,1.2284667,0.041789,0.029133,3.0985121999999996,1.1952823080532158,89.0,2.2721425992811413
convex_per,40,2,4.259163,0.3939717,0.8141095,0.0579384,0.0323113,5.5574939,1.372482320248397,97.0,2.606342394968742
convex_per,60,2,8.5625988,0.626817,1.1967542,0.1687846,0.0452132,10.6001678,1.3835359256031945,100.0,2.6271223801279713
convex_per,80,2,9.0173627,0.382584,0.8328697,0.277029,0.063101,10.5729464,1.3889700944730328,100.0,2.6370714599792198
convex_per,100,2,11.3490406,0.4380879,0.9486452,0.2983937,0.0696547,13.103822099999999,1.3914650002348232,100.0,2.6417364003603474
convex_per,150,2,17.7990582,0.4693392,0.9957984,0.5265908,0.1073456,19.898132200000003,0.8265043923827411,55.0,1.5743065223745154
convex_per,300,2,34.5669426,0.5786384,1.4102971,0.8237201,0.1978443,37.577442500000004,0.8267371261536385,53.0,1.5747683140431912
convex_per,450,2,51.5939672,0.7577664,2.0138931,1.4721249,0.3053415,56.143093099999994,0.2674590494805492,34.0,0.517956255104217
conicalb_cross,20,2,22.4463846,0.3439747,0.7308531,0.02912,0.0226538,23.5729862,1.4132096964573437,102.0,2.682527344612905
conicalb_cross,40,2,35.327205,0.3326661,0.6881753,0.0533459,0.0308964,36.432288699999994,1.4265794318817007,103.0,2.7076327520042396
conicalb_cross,60,2,44.0446618,0.3672382,0.7964299,0.0786654,0.0432792,45.3302745,1.4195528604231313,103.0,2.694455592243069
conicalb_cross,80,2,54.1614785,0.3953683,0.9649785,0.1593261,0.0581834,55.7393348,1.4401783945897024,104.0,2.7331404520183193
conicalb_cross,100,2,68.2920286,0.419801,0.8769326,0.1877098,0.0718391,69.8483111,1.4419306095070759,104.0,2.736438005009678
conicalb_cross,150,2,92.5567605,0.4722058,1.1358346,0.2803541,0.1018704,94.54702539999998,0.26783750360719427,34.0,0.5178287508019601
conicalb_cross,300,2,177.679361,0.6906232,1.6251667,0.94287,0.1986974,181.13671829999998,0.26760238951511706,35.0,0.5178643157451648
conicalb_cross,450,2,275.3491109,1.0522203,2.9213775,1.6769571,0.3400949,281.3397607,0.1369214165232517,20.0,0.2633170477299891
conicalb_per,20,2,5.1983467,0.3574546,0.6939431,0.0333968,0.0212027,6.3043439,9.588271482364112,496.0,18.069176684019705
conicalb_per,40,2,6.1151386,0.4075106,0.7993477,0.0734098,0.0345624,7.429969100000001,0.03569624706796398,7.0,0.07288943604789488
conicalb_per,60,2,8.540978,0.4629746,0.8966434,0.1736175,0.0464141,10.120627600000002,0.03692275198860211,7.0,0.0756348993837026
conicalb_per,80,2,12.2684284,0.4136638,0.9121677,0.1782237,0.0581882,13.8306718,0.037198867997885125,7.0,0.07576727525569349
conicalb_per,100,2,14.3236305,0.427718,0.965187,0.23542,0.0739756,16.0259311,0.037319945843357565,7.0,0.07610937331224865
conicalb_per,150,2,20.0869491,0.5345916,1.2500108,0.414374,0.1070325,22.392957999999993,0.037658382529972376,7.0,0.07698906284095886
conicalb_per,300,2,40.3859818,0.6085098,1.4721946,0.755283,0.2962535,43.5182227,0.039053557391394496,7.0,0.07970827419558413
conicalb_per,450,2,57.887543,0.7759166,1.9239072,1.5580247,0.5318847,62.6772762,0.03926508313844693,7.0,0.08018866028716931
0_HourlyBenchmark,1,3,0.0,5.8705571,14.1176926,18.9931426,5.0212903,44.0026826,0.0,0.0,0.0
convex_cross,20,3,18.6566503,0.3793653,0.729107,0.0273324,0.0221076,19.814562599999995,4.79206889435131,324.0,9.062161293642433
convex_cross,40,3,37.1976479,0.4606788,0.9750979,0.0710563,0.0429739,38.7474548,0.3420038513123839,28.0,0.6557651485680105
convex_cross,60,3,52.2836872,0.3954186,0.9099955,0.1278514,0.0466501,53.7636028,0.34645860304757836,29.0,0.6639947639786226
convex_cross,80,3,62.7988897,0.4619037,0.9462669,0.1956319,0.0594927,64.4621849,0.3452012187138978,29.0,0.6616758157585485
convex_cross,100,3,70.4111339,0.4653704,1.0508115,0.2670199,0.0746897,72.26902539999998,0.34115202769403574,28.0,0.6542691841460022
