base_name,rp,n_experiment,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
convex_cross,150,2,Gurobi,89.6277923,0.4375287,1.0578004,0.3209196,0.105323,561.1066597888596,OPTIMAL,0,0.0,25200,21605,0.1528534,681.3036057019835,OPTIMAL,29,0.4011329459702331
convex_cross,300,2,Gurobi,171.4370463,0.6500164,1.5078336,0.8269119,0.1960243,560.9126028900807,OPTIMAL,0,0.0,50400,43205,0.1448603,678.9180968572033,OPTIMAL,29,0.39352400718419456
convex_cross,450,2,Gurobi,280.6647687,0.8755166,1.9768569,1.5395089,0.307868,562.0621699449662,OPTIMAL,0,0.0,75600,64805,0.1930074,640.4709224051577,OPTIMAL,19,0.2589313941031439
convex_per,20,2,Gurobi,1.3552258,0.4438977,1.2284667,0.041789,0.029133,508.72656662121926,OPTIMAL,0,0.0,3360,2885,0.2236944,1239.6255488562422,OPTIMAL,89,2.2721425992811413
convex_per,40,2,Gurobi,4.259163,0.3939717,0.8141095,0.0579384,0.0323113,535.9234576226424,OPTIMAL,0,0.0,6720,5765,0.1778853,1339.6863299088536,OPTIMAL,97,2.606342394968742
convex_per,60,2,Gurobi,8.5625988,0.626817,1.1967542,0.1687846,0.0452132,545.6867883294808,OPTIMAL,0,0.0,10080,8645,0.1411434,1345.9280472289975,OPTIMAL,100,2.6271223801279713
convex_per,80,2,Gurobi,9.0173627,0.382584,0.8328697,0.277029,0.063101,553.4555092619057,OPTIMAL,0,0.0,13440,11525,0.1421515,1348.9965977034121,OPTIMAL,100,2.6370714599792198
convex_per,100,2,Gurobi,11.3490406,0.4380879,0.9486452,0.2983937,0.0696547,556.9883841954959,OPTIMAL,0,0.0,16800,14405,0.1372487,1350.405413741768,OPTIMAL,100,2.6417364003603474
convex_per,150,2,Gurobi,17.7990582,0.4693392,0.9957984,0.5265908,0.1073456,559.9109507775454,OPTIMAL,0,0.0,25200,21605,0.1382734,1031.3851214442104,OPTIMAL,55,1.5743065223745154
convex_per,300,2,Gurobi,34.5669426,0.5786384,1.4102971,0.8237201,0.1978443,560.0642831251038,OPTIMAL,0,0.0,50400,43205,0.1410991,1031.5165408645864,OPTIMAL,53,1.5747683140431912
convex_per,450,2,Gurobi,51.5939672,0.7577664,2.0138931,1.4721249,0.3053415,560.1977986462829,OPTIMAL,0,0.0,75600,64805,0.1397577,715.7050435387785,OPTIMAL,34,0.517956255104217
conicalb_cross,20,2,Gurobi,22.4463846,0.3439747,0.7308531,0.02912,0.0226538,549.6066534673694,OPTIMAL,0,0.0,3360,2885,0.1419666,1362.684144769058,OPTIMAL,102,2.682527344612905
conicalb_cross,40,2,Gurobi,35.327205,0.3326661,0.6881753,0.0533459,0.0308964,552.4972656533533,OPTIMAL,0,0.0,6720,5765,0.1419734,1370.2337275961427,OPTIMAL,103,2.7076327520042396
conicalb_cross,60,2,Gurobi,44.0446618,0.3672382,0.7964299,0.0786654,0.0432792,551.3941499829432,OPTIMAL,0,0.0,10080,8645,0.1663183,1366.2659839173668,OPTIMAL,103,2.694455592243069
conicalb_cross,80,2,Gurobi,54.1614785,0.3953683,0.9649785,0.1593261,0.0581834,550.0609768027548,OPTIMAL,0,0.0,13440,11525,0.1377641,1377.9127498107077,OPTIMAL,104,2.7331404520183193
conicalb_cross,100,2,Gurobi,68.2920286,0.419801,0.8769326,0.1877098,0.0718391,550.2967547345719,OPTIMAL,0,0.0,16800,14405,0.1398201,1378.9021853701777,OPTIMAL,104,2.736438005009678
conicalb_cross,150,2,Gurobi,92.5567605,0.4722058,1.1358346,0.2803541,0.1018704,553.4593020542557,OPTIMAL,0,0.0,25200,21605,0.1417414,715.9187479005083,OPTIMAL,34,0.5178287508019601
conicalb_cross,300,2,Gurobi,177.679361,0.6906232,1.6251667,0.94287,0.1986974,550.2695935764873,OPTIMAL,0,0.0,50400,43205,0.1500024,715.7859843673782,OPTIMAL,35,0.5178643157451648
conicalb_cross,450,2,Gurobi,275.3491109,1.0522203,2.9213775,1.6769571,0.3400949,551.0427994203758,OPTIMAL,0,0.0,75600,64805,0.1989124,641.9934373788467,OPTIMAL,20,0.2633170477299891
conicalb_per,20,2,Gurobi,5.1983467,0.3574546,0.6939431,0.0333968,0.0212027,457.65719975240575,OPTIMAL,0,0.0,3360,2885,0.3954565,5978.953959413194,OPTIMAL,496,18.069176684019705
conicalb_per,40,2,Gurobi,6.1151386,0.4075106,0.7993477,0.0734098,0.0345624,520.1096488326248,OPTIMAL,0,0.0,6720,5765,0.351086,584.8339067873783,OPTIMAL,7,0.07288943604789488
conicalb_per,60,2,Gurobi,8.540978,0.4629746,0.8966434,0.1736175,0.0464141,539.1672599682797,OPTIMAL,0,0.0,10080,8645,0.1482735,585.5264859740475,OPTIMAL,7,0.0756348993837026
conicalb_per,80,2,Gurobi,12.2684284,0.4136638,0.9121677,0.1782237,0.0581882,547.5802808180299,OPTIMAL,0,0.0,13440,11525,0.1412826,585.6824023490394,OPTIMAL,7,0.07576727525569349
conicalb_per,100,2,Gurobi,14.3236305,0.427718,0.965187,0.23542,0.0739756,552.2663011493506,OPTIMAL,0,0.0,16800,14405,0.1432419,585.7507722302604,OPTIMAL,7,0.07610937331224865
conicalb_per,150,2,Gurobi,20.0869491,0.5345916,1.2500108,0.414374,0.1070325,556.2856131389304,OPTIMAL,0,0.0,25200,21605,0.1437746,585.9418796618007,OPTIMAL,7,0.07698906284095886
conicalb_per,300,2,Gurobi,40.3859818,0.6085098,1.4721946,0.755283,0.2962535,557.748432924944,OPTIMAL,0,0.0,50400,43205,0.1805534,586.7297028939182,OPTIMAL,7,0.07970827419558413
conicalb_per,450,2,Gurobi,57.887543,0.7759166,1.9239072,1.5580247,0.5318847,557.0366697881079,OPTIMAL,0,0.0,75600,64805,0.1462768,586.8491466298447,OPTIMAL,7,0.08018866028716931
