base_name,rp,n_experiment,time_to_cluster_mean,time_to_read_mean,time_to_create_mean,time_to_solve_mean,time_to_save_mean,total_time_mean,rel_regret_mean,num_loss_of_load_e_demand_mean,loss_of_load_e_demand_mean
kmeans_cross_dirac,450,4,2.11187166,1.2265705,2.8591520200000002,1.68089476,0.4674624400000001,8.345951379999999,1.2695335278499644,45.0,1.1848873608702535
kmeans_per_dirac,20,4,0.16293688,0.5596209200000001,1.3041428,0.033355939999999994,0.031300459999999995,2.091357,642.5931679714623,5943.8,596.7032446023783
kmeans_per_dirac,40,4,0.18360433999999998,0.66540316,1.26779324,0.08604306,0.045742920000000006,2.24858672,210.7429862397442,2663.6,195.71460548558952
kmeans_per_dirac,60,4,0.5370683599999999,0.67539392,1.32282138,0.15305572,0.05542614,2.7437655199999997,153.6304242116758,2291.2,142.68388307958563
kmeans_per_dirac,80,4,0.22427798000000002,0.72072834,1.4077585200000002,0.20065996,0.06656730000000001,2.6199920999999997,116.6776047224782,1900.2,108.3705775647858
kmeans_per_dirac,100,4,0.270937,0.8006306200000001,1.8263118200000001,0.32327641999999995,0.08097644000000001,3.3021322999999994,68.8574464534785,1276.0,63.96418650894121
kmeans_per_dirac,150,4,0.26826972,0.78141668,1.52975214,0.5121903800000001,0.11515719999999999,3.2067861200000003,44.23490672235719,955.6,41.09857679222985
kmeans_per_dirac,300,4,0.4003537,1.08361632,2.1284893599999997,1.06089802,0.24652694,4.91988434,4.670969540325307,139.2,4.346019563410584
kmeans_per_dirac,450,4,0.98531436,1.2802822400000002,3.3555581399999994,1.938201,0.33973158000000003,7.899087319999998,0.9750859191047478,43.4,0.9117912092701337
kmedoids_cross_dirac,20,4,0.298455,0.6361536400000001,1.29707398,0.02847268,0.03486592,2.2950212199999998,27.265070872191977,643.0,25.33771320176129
kmedoids_cross_dirac,40,4,0.30849964,0.74203036,1.50798064,0.06768156,0.04625758,2.67244978,13.455053878941873,351.8,12.51054171310886
kmedoids_cross_dirac,60,4,0.41360232,0.67245864,1.4802305800000002,0.10976714000000001,0.0527494,2.7288080799999994,10.311177134883405,282.6,9.590323750301788
kmedoids_cross_dirac,80,4,0.81319174,0.6857803399999999,1.16736822,0.15997004,0.06440728,2.89071762,1.47753834787054,53.6,1.3794547014989462
kmedoids_cross_dirac,100,4,0.8715356200000001,0.73505996,1.2974677199999998,0.25890218000000004,0.07713840000000001,3.2401038800000004,1.4003044917699086,53.0,1.3076033040159571
kmedoids_cross_dirac,150,4,0.99490138,0.82479422,1.49088088,0.40279226,0.1070454,3.8204141400000005,0.9468283979240754,38.8,0.8852383936573238
kmedoids_cross_dirac,300,4,1.79811564,1.0194237000000002,2.166588,0.9781464600000002,0.23973246,6.202006259999999,0.6823839439384682,29.0,0.63880001570357
kmedoids_cross_dirac,450,4,2.1506166,1.2402358,2.8129592600000004,1.4255224800000001,0.29487253999999996,7.92420668,0.4600920122772898,21.0,0.43136000995137574
kmedoids_per_dirac,20,4,0.15582172,0.6345853800000001,1.4928862200000002,0.03665686,0.0342878,2.3542379799999997,129.8049640947375,1858.0,120.55425093599304
kmedoids_per_dirac,40,4,0.15040646,0.7491273399999999,1.36995664,0.07024132000000001,0.04612377999999999,2.38585554,19.202571146939707,491.6,17.850600749472488
kmedoids_per_dirac,60,4,0.5553188000000001,0.7038822399999999,1.41050236,0.10678022000000001,0.0539632,2.8304468199999997,16.850708093348487,444.8,15.666154135097742
kmedoids_per_dirac,80,4,0.6094055199999999,0.79433742,1.35385906,0.16680842,0.06484494,2.98925536,8.732693291194263,248.6,8.12321202307061
kmedoids_per_dirac,100,4,0.5671350399999999,0.79915558,1.3941177599999999,0.25021118,0.08031286,3.09093242,3.9837826881503546,126.8,3.7107905457660606
kmedoids_per_dirac,150,4,0.23896546000000002,0.7720011600000001,1.49463428,0.37847102,0.11322471999999999,2.99729664,2.9057359122752127,95.6,2.708189459685514
kmedoids_per_dirac,300,4,0.38541462,1.0741106400000002,2.12218024,0.94890688,0.24700313999999998,4.7776155199999994,0.8107537241732112,32.8,0.7586518425547886
kmedoids_per_dirac,450,4,1.3466624,1.2246578399999999,3.0656013599999996,1.5544616599999999,0.39772290000000005,7.58910616,0.24047731038477446,14.6,0.22580619720988487
0_HourlyBenchmark,1,5,0.0,3.4252083,8.4396409,7.2288285,1.2312218,20.3248995,0.0,0.0,0.0
kmeans_cross_dirac,20,5,0.55413914,0.64640754,1.46078608,0.03286182,0.054478799999999994,2.74867338,226.65419399294314,2626.2,211.20395414550512
kmeans_cross_dirac,40,5,0.27460036,0.77826366,1.5136563600000001,0.09104160000000001,0.0567207,2.71428268,91.54934438988705,1477.6,85.3247303092858
kmeans_cross_dirac,60,5,0.74203146,0.763515,1.4622952800000002,0.14453468,0.05510933999999999,3.16748576,66.83036395200114,1141.2,62.29099215085279
kmeans_cross_dirac,80,5,0.47370080000000003,0.7952132599999999,1.4742559800000001,0.21744902000000002,0.07503034,3.0356493999999996,38.0477849586757,763.0,35.47140302177388
kmeans_cross_dirac,100,5,0.51513418,1.1152716,1.4181743,0.32525067999999996,0.08302654000000001,3.4568573000000002,36.03069034151462,729.8,33.59186189467366
kmeans_cross_dirac,150,5,1.0370046800000001,0.8613797200000001,1.58890552,0.43916514000000006,0.10894763999999998,4.035402700000001,12.980690981846067,362.0,12.11086530442203
kmeans_cross_dirac,300,5,1.77668216,1.07708358,2.30114222,1.17197194,0.21052876,6.53740866,4.882786529168671,167.6,4.560772700246427
